"route_id","schedule_date","car_type","route_distance_km","route_minutes","total_orders"
"567780","2019-07-01 08:00:00","Particular","41.713","357.32","43"
"567790","2019-07-01 08:00:00","Fiorino S.C.","45.117","373.37","53"
"567800","2019-07-01 08:00:00","Fiorino S.C.","166.363","821.5","66"
"567810","2019-07-01 08:00:00","Particular","46.879","450.57","63"
"567820","2019-07-01 08:00:00","Fiorino","25.558","255.53","35"
"567830","2019-07-01 08:00:00","Fiorino S.C.","30.381","224.1","26"
"567840","2019-07-01 08:00:00","Fiorino","78.362","529.4","62"
"567850","2019-07-01 08:00:00","Particular","85.027","383.75","39"
"567860","2019-07-01 08:00:00","Fiorino Sr","60.627","554.75","76"
"567870","2019-07-01 08:00:00","Fiorino S.C.","68.614","544.75","70"
"567880","2019-07-01 08:00:00","Particular","65.988","447.92","43"
"567890","2019-07-01 08:00:00","Particular","46.125","361.37","41"
"567900","2019-07-01 08:00:00","Particular","41.107","319.83","43"
"567910","2019-07-01 08:00:00","Fiorino","72.207","676.87","89"
"567920","2019-07-01 08:00:00","Particular","38.974","315.58","41"
"567930","2019-07-01 08:00:00","Particular","47.302","354.5","41"
"567940","2019-07-01 08:00:00","Fiorino Sr","59.347","537.18","66"
"567950","2019-07-01 08:00:00","Particular","72.233","462.72","49"
"567960","2019-07-01 08:00:00","Particular","56.486","390.47","43"
"567970","2019-07-01 08:00:00","Fiorino","143.894","762.33","86"
"567980","2019-07-01 08:00:00","Particular","71.709","384.85","35"
"567990","2019-07-01 08:00:00","Particular","65.902","463.3","55"
"568000","2019-07-01 08:00:00","Bloqueado","76.883","535.72","60"
"568010","2019-07-01 10:00:00","Particular","69.029","342.5","28"
"568020","2019-07-01 08:00:00","Particular","45.288","341.43","38"
"568030","2019-07-01 08:00:00","Particular","36.186","328.42","39"
"568040","2019-07-01 08:00:00","Particular","37.004","219.95","24"
"568050","2019-07-01 08:00:00","Particular","71.253","368.47","35"
"568060","2019-07-01 08:00:00","Particular","72.124","468.32","47"
"568070","2019-07-01 08:00:00","Particular","40.738","365.13","49"
"568080","2019-07-01 08:00:00","Particular","193.979","936.47","89"
"568090","2019-07-01 08:00:00","Particular","45.051","395.65","46"
"568100","2019-07-01 08:00:00","Particular","38.380","361.25","47"
"568110","2019-07-01 08:00:00","Particular","71.453","482.88","51"
"568120","2019-07-01 08:00:00","Fiorino","61.223","532.67","71"
"568130","2019-07-01 08:00:00","Particular","57.220","490.23","62"
"568140","2019-07-01 08:00:00","Particular","51.018","253.52","20"
